city,country,housing,cost of living,startups,venture capital,travel connectivity,commute,business freedom,safety,healthcare,education,environmental quality,economy,taxation,internet access,leisure & culture,tolerance,outdoors,purchasing power index,climate index,lat,lng,iso3,population,mcmeal_combo,avg_monthly_net_salary,internet_60mbps,sun_jan,sun_feb,sun_mar,sun_apr,sun_may,sun_jun,sun_jul,sun_aug,sun_sep,sun_oct,sun_nov,sun_dec,sun_year,temp_jan,temp_feb,temp_mar,temp_apr,temp_may,temp_jun,temp_jul,temp_aug,temp_sep,temp_oct,temp_nov,temp_dec,temp_year,happy_decibel_level,happy_traffic_density,happy_green_space_area,happy_air_quality_index,happy_happiness_score,happy_cost_of_living_index,happy_healthcare_index,median_speed(mbps)
Ankara,Turkey,9.928,9.125,3.9725000000000006,0.0,2.0475,5.291,5.948333333333333,7.425000000000002,6.914333333333333,2.0285,2.9360000000000004,4.093500000000001,4.323499999999999,2.3160000000000003,8.638499999999999,4.485500000000001,5.1465,54.7,91.5,39.93,32.85,TUR,5864049.0,3.89,371.38,8.71,77.5,98.9,161.2,189.0,260.4,306.0,350.3,328.6,276.0,198.4,132.0,71.3,2449.6,"0.4
(32.7)","1.9
(35.4)","6.0
(42.8)","11.3
(52.3)","16.1
(61.0)","20.1
(68.2)","23.6
(74.5)","23.4
(74.1)","18.8
(65.8)","13.0
(55.4)","7.0
(44.6)","2.6
(36.7)","12.0
(53.6)",,,,,,,,46.39
Asheville,United States,5.855999999999999,5.311,3.5405,0.0,1.2095,1.358,8.671,5.852500000000001,6.725333333333332,3.6245,8.49325,6.5145,4.062,4.7875,5.063,7.7305,2.2655,,,35.5707,-82.5537,USA,295040.0,7.5,3480.0,69.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asuncion,Paraguay,9.2265,9.295000000000002,2.207,0.0,0.645,4.968750000000001,3.684,6.9345,5.485333333333333,0.0,3.969,4.109,8.423499999999999,1.479,5.991999999999999,7.051499999999999,3.4845000000000006,,,-25.2945,-57.6435,PRY,477346.0,4.85,354.73,24.37,276.0,246.0,254.0,228.0,205.0,165.0,195.0,223.0,204.0,242.0,270.0,295.0,2803.0,"27.5
(81.5)","26.9
(80.4)","25.9
(78.6)","22.8
(73.0)","19.8
(67.6)","17.6
(63.7)","17.9
(64.2)","18.6
(65.5)","20.5
(68.9)","23.2
(73.8)","24.9
(76.8)","26.5
(79.7)","22.7
(72.9)",,,,,,,,16.85
Athens,Greece,9.052499999999998,6.5,4.404,2.325,3.707,5.2197499999999994,6.168999999999999,6.7585,7.153,3.1624999999999996,3.80225,3.3199999999999994,4.1665,2.2279999999999993,7.876000000000001,6.268000000000001,6.483,52.8,95.2,37.9842,23.7281,GRC,3059764.0,7.38,960.36,32.2,130.0,134.0,183.0,231.0,291.0,336.0,363.0,341.0,276.0,208.0,153.0,127.0,2773.0,"10.2
(50.4)","10.9
(51.6)","13.2
(55.8)","16.9
(62.4)","21.8
(71.2)","26.6
(79.9)","29.3
(84.7)","29.3
(84.7)","25.0
(77.0)","20.1
(68.2)","15.5
(59.9)","11.5
(52.7)","19.2
(66.6)",65.0,Medium,45.0,75.0,6.2,70.0,75.0,91.84
Atlanta,United States,4.9755,5.241,8.835,7.2570000000000014,5.2915,3.89775,8.671,2.6725,6.0233333333333325,6.456999999999999,5.817749999999999,6.5145,4.204,6.4805,7.765499999999999,4.062,5.0095,168.1,89.7,33.7628,-84.422,USA,5211164.0,8.25,4878.17,73.7,164.0,171.7,220.5,261.2,288.6,284.8,273.8,258.6,227.5,238.5,185.1,164.0,2738.3,"6.4
(43.5)","8.6
(47.4)","12.6
(54.6)","16.7
(62.1)","21.3
(70.3)","25.2
(77.4)","26.9
(80.4)","26.4
(79.5)","23.1
(73.5)","17.4
(63.4)","12.3
(54.1)","7.5
(45.5)","17.0
(62.6)",,,,,,,,
Auckland,New Zealand,4.72,4.470000000000001,4.588000000000001,2.79,1.3045000000000004,4.845000000000001,10.0,7.0215,8.162666666666665,5.0465,8.2725,5.505500000000001,5.9315,6.8500000000000005,4.395999999999999,7.402000000000001,5.862,127.8,99.9,-36.8492,174.7653,NZL,1470100.0,9.62,3978.79,54.87,228.8,194.9,189.2,157.3,139.8,110.3,128.1,142.9,148.6,178.1,188.1,197.2,2003.1,"19.1
(66.4)","19.7
(67.5)","18.4
(65.1)","16.1
(61.0)","14.0
(57.2)","11.8
(53.2)","10.9
(51.6)","11.3
(52.3)","12.7
(54.9)","14.2
(57.6)","15.7
(60.3)","17.8
(64.0)","15.2
(59.4)",50.0,Low,80.0,35.0,8.1,100.0,95.0,76.26
Baku,Azerbaijan,9.745,9.806,2.6704999999999997,0.0,2.1690000000000005,5.492,5.671666666666666,8.772,3.701999999999999,0.0,2.62125,3.8765,5.861,1.4420000000000002,6.2195,6.584500000000001,4.503,38.5,91.4,40.3667,49.8352,AZE,2300500.0,5.74,405.72,14.73,89.9,89.0,124.0,195.0,257.3,294.0,313.1,282.1,222.0,145.7,93.0,102.3,2207.4,"4.4
(39.9)","4.2
(39.6)","7.0
(44.6)","12.9
(55.2)","18.5
(65.3)","23.5
(74.3)","26.4
(79.5)","26.3
(79.3)","22.5
(72.5)","16.6
(61.9)","11.2
(52.2)","7.3
(45.1)","15.1
(59.2)",,,,,,,,59.77
Bali,Indonesia,5.0,0.0,1.628,0.0,1.9299999999999995,5.193500000000001,3.912333333333333,8.7475,4.442,0.5275,4.13775,4.657500000000001,6.266,3.2375000000000003,6.3335,4.558999999999999,7.5005,,,-8.6717,115.2339,IDN,670210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltimore,United States,4.829999999999999,4.982,0.0,4.3580000000000005,3.6665,4.93475,5.502000000000001,2.373,6.870666666666666,5.8805,5.784500000000001,6.5145,4.062,4.988,0.0,5.755,3.9795,,,39.3051,-76.6144,USA,2189589.0,9.0,5188.03,78.91,155.4,164.0,215.0,230.7,254.5,277.3,290.1,264.4,221.8,205.5,158.5,144.5,2581.7,"0.8
(33.5)","2.4
(36.4)","6.8
(44.2)","12.4
(54.3)","17.6
(63.6)","22.8
(73.0)","25.3
(77.6)","24.3
(75.7)","20.2
(68.4)","13.7
(56.7)","8.3
(47.0)","2.9
(37.3)","13.1
(55.6)",,,,,,,,
Bangalore,India,9.810999999999998,10.0,10.0,8.972999999999999,4.064,4.00625,3.617999999999999,7.294,3.9369999999999994,0.656,2.75575,5.5565,3.4145,2.8409999999999997,3.2215000000000007,3.4844999999999997,2.385,171.0,89.4,12.9789,77.5917,IND,15386000.0,4.3,969.96,10.75,262.0,248.0,271.0,257.0,241.0,137.0,112.0,114.0,144.0,173.0,190.0,212.0,2361.0,,,,,,,,,,,,,,85.0,Very High,10.0,235.0,3.5,45.0,55.0,
Bangkok,Thailand,7.3935,7.222,6.119,3.453,4.112,4.293500000000001,5.6036666666666655,7.0365,7.126666666666665,1.6915,3.37125,2.387,6.794500000000001,4.826499999999999,9.089,6.019,6.494000000000001,,,13.7525,100.4942,THA,18007000.0,5.76,629.84,15.46,272.5,249.9,269.0,256.7,216.4,178.0,171.8,160.3,154.9,198.1,234.2,262.0,2623.8,"27.0
(80.6)","28.3
(82.9)","29.5
(85.1)","30.5
(86.9)","29.9
(85.8)","29.5
(85.1)","29.0
(84.2)","28.8
(83.8)","28.3
(82.9)","28.1
(82.6)","27.8
(82.0)","26.5
(79.7)","28.6
(83.5)",80.0,High,25.0,110.0,4.0,50.0,55.0,70.89
Barcelona,Spain,6.3229999999999995,6.074000000000001,7.7585000000000015,5.655,5.806,5.69925,7.1196666666666655,7.407499999999999,8.403333333333332,5.029000000000002,3.6655000000000006,4.296,3.894000000000001,6.467999999999999,8.591499999999998,7.471500000000001,5.827999999999999,87.4,95.7,41.3833,2.1833,ESP,4800000.0,9.48,1978.23,40.15,158.0,171.0,206.0,239.0,258.0,287.0,293.0,264.0,229.0,196.0,153.0,137.0,2591.0,"11.8
(53.2)","12.4
(54.3)","14.2
(57.6)","15.8
(60.4)","19.3
(66.7)","23.0
(73.4)","25.7
(78.3)","26.1
(79.0)","23.0
(73.4)","19.5
(67.1)","14.9
(58.8)","12.3
(54.1)","18.2
(64.8)",60.0,Medium,65.0,35.0,7.7,90.0,85.0,85.06
Beijing,China,6.173000000000001,8.101,4.872,9.562,7.0175,4.83675,3.815333333333333,7.066,6.423333333333333,7.971000000000002,2.0555000000000003,6.103,1.4260000000000002,3.493,7.2685,2.822,4.9435,110.1,57.6,39.9067,116.3975,CHN,18522000.0,5.69,1562.35,20.83,194.1,194.7,231.8,251.9,283.4,261.4,212.4,220.9,232.1,222.1,185.3,180.7,2670.8,"−3.1
(26.4)","0.3
(32.5)","6.7
(44.1)","14.8
(58.6)","20.8
(69.4)","24.9
(76.8)","26.7
(80.1)","25.5
(77.9)","20.8
(69.4)","13.7
(56.7)","5.0
(41.0)","−0.9
(30.4)","12.9
(55.2)",80.0,Very High,15.0,175.0,4.5,85.0,70.0,191.41
Beirut,Lebanon,6.655500000000001,6.3,3.4094999999999995,0.0,1.3045000000000004,4.77275,4.329,6.833,6.1593333333333335,1.0035,1.449,3.4345000000000003,8.2805,1.5905,3.3995,4.184,3.842000000000001,,,33.8981,35.5058,LBN,2421354.0,6.1,370.25,65.01,133.0,148.0,194.0,246.0,312.0,352.0,361.0,333.0,288.0,246.0,202.0,149.0,2944.0,"14.0
(57.2)","14.0
(57.2)","16.0
(60.8)","18.7
(65.7)","21.7
(71.1)","24.9
(76.8)","27.1
(80.8)","27.8
(82.0)","26.8
(80.2)","24.1
(75.4)","19.5
(67.1)","15.8
(60.4)","20.9
(69.6)",,,,,,,,51.2
Belfast,United Kingdom,7.532000000000001,6.014000000000001,3.55,1.6210000000000002,4.0985,5.28,8.991999999999999,7.678999999999999,8.168333333333333,4.6865000000000006,8.377500000000001,5.438,5.9545,5.5954999999999995,4.957000000000001,5.9795,1.413,,,54.5967,-5.93,GBR,345006.0,7.38,2333.46,44.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgrade,Serbia,9.2575,8.546000000000001,4.9095,2.333,2.1365000000000003,5.578250000000001,5.383999999999999,6.6995000000000005,6.0103333333333335,0.5,4.88325,1.638,4.1665,3.863,6.497,7.387,5.078,51.3,84.1,44.8178,20.4569,SRB,1197714.0,7.18,669.56,24.23,72.0,102.0,153.0,188.0,242.0,261.0,291.0,274.0,204.0,163.0,97.0,65.0,2112.0,"1.4
(34.5)","3.1
(37.6)","7.6
(45.7)","12.9
(55.2)","18.1
(64.6)","21.0
(69.8)","23.0
(73.4)","22.7
(72.9)","18.0
(64.4)","12.9
(55.2)","7.1
(44.8)","2.7
(36.9)","12.5
(54.5)",75.0,High,30.0,85.0,5.5,55.0,70.0,65.05
Belize City,Belize,4.6425,0.0,1.866,0.0,0.8900000000000001,0.0,3.4109999999999996,6.052,5.503999999999999,0.0,2.031,3.4959999999999996,6.930000000000001,3.8075,1.0645,6.865,0.5,,,17.4986,-88.1886,BLZ,38500.0,7.0,998.65,96.25,,,,,,,,,,,,,,"24.0
(75.2)","24.9
(76.8)","25.9
(78.6)","27.3
(81.1)","28.3
(82.9)","28.5
(83.3)","28.1
(82.6)","28.2
(82.8)","28.0
(82.4)","27.0
(80.6)","25.6
(78.1)","24.5
(76.1)","26.7
(80.1)",,,,,,,,
Belo Horizonte,Brazil,,,,,,,,,,,,,,,,,,28.7,98.5,-19.9281,-43.9419,BRA,5328000.0,5.75,319.37,19.46,176.0,190.8,194.9,210.7,221.2,229.9,240.5,241.5,202.5,196.5,166.9,153.3,2424.7,"22.8
(73.0)","23.0
(73.4)","22.9
(73.2)","21.7
(71.1)","19.6
(67.3)","18.5
(65.3)","18.0
(64.4)","19.7
(67.5)","21.1
(70.0)","21.7
(71.1)","22.2
(72.0)","22.2
(72.0)","21.1
(70.0)",,,,,,,,
Bergen,Norway,5.229499999999999,1.805,2.207,1.0,3.2425000000000006,5.8875,9.635333333333332,7.7075,7.646666666666667,4.8395,7.539250000000001,7.0735,4.752,6.537000000000001,4.4875,7.6145,4.3134999999999994,,,60.3925,5.3233,NOR,291189.0,12.33,3218.31,50.09,19.0,56.0,94.0,147.0,186.0,189.0,167.0,144.0,86.0,60.0,27.0,12.0,1187.0,"1.5
(34.7)","1.6
(34.9)","3.3
(37.9)","5.9
(42.6)","10.5
(50.9)","13.5
(56.3)","14.5
(58.1)","14.4
(57.9)","11.5
(52.7)","8.7
(47.7)","4.7
(40.5)","2.6
(36.7)","7.7
(45.9)",,,,,,,,
Berlin,Germany,6.3950000000000005,5.524,9.085,7.820000000000001,7.024999999999999,6.1960000000000015,9.072333333333331,7.251500000000001,7.990666666666666,7.019000000000001,6.771500000000001,5.373500000000001,3.9035,4.677999999999999,8.881,7.177499999999998,5.475000000000001,120.4,83.3,52.52,13.405,DEU,4679500.0,9.48,3158.05,40.24,47.0,74.0,121.0,159.0,220.0,222.0,217.0,211.0,156.0,112.0,51.0,37.0,1626.0,"0.6
(33.1)","2.3
(36.1)","5.1
(41.2)","10.2
(50.4)","14.8
(58.6)","17.9
(64.2)","20.3
(68.5)","19.7
(67.5)","15.3
(59.5)","10.5
(50.9)","6.0
(42.8)","1.3
(34.3)","10.3
(50.5)",50.0,Low,55.0,35.0,7.5,80.0,85.0,85.07
Bern,Switzerland,4.922500000000001,1.0,2.6875000000000004,0.0,5.2635000000000005,5.19775,8.888,9.266,7.520333333333333,5.3454999999999995,9.2445,6.552,6.4285000000000005,6.1145000000000005,4.245,8.589,2.1225,,,46.948,7.4474,CHE,134506.0,16.03,6090.17,54.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao,Spain,6.888000000000001,5.638,2.668,0.0,4.1735,5.774750000000001,7.1196666666666655,8.7805,9.320666666666666,3.759000000000001,8.328000000000001,4.296,3.894000000000001,5.756,6.013999999999999,8.663,1.481,,,43.2569,-2.9236,ESP,775000.0,8.43,1949.29,35.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birmingham,United Kingdom,5.9035,5.814,4.3575,2.541,5.8450000000000015,5.4935,8.991999999999999,6.946500000000001,8.293666666666667,5.0265,5.7385,5.438,5.9545,5.940000000000001,4.4350000000000005,6.421,1.2675,,,52.48,-1.9025,GBR,2590363.0,7.38,2976.96,33.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogota,Colombia,9.0275,9.079999999999998,5.7085,1.259,1.889,4.964,6.348666666666665,6.222000000000001,6.301666666666667,1.534,4.3475,4.5945,1.8515000000000004,2.9760000000000004,6.215,8.555499999999999,7.477,,,4.7111,-74.0722,COL,8034649.0,4.62,299.87,19.69,156.0,128.0,107.0,88.0,83.0,94.0,114.0,117.0,109.0,96.0,103.0,138.0,1328.0,"14.3
(57.7)","14.5
(58.1)","14.9
(58.8)","14.9
(58.8)","15.0
(59.0)","14.5
(58.1)","14.6
(58.3)","14.1
(57.4)","14.3
(57.7)","14.3
(57.7)","14.4
(57.9)","14.6
(58.3)","14.4
(57.9)",70.0,High,30.0,110.0,5.0,60.0,65.0,25.96
Boise,United States,6.9635,6.578,4.205,2.5960000000000005,1.3235,5.2250000000000005,8.671,4.3605,6.797333333333332,3.6245,8.069500000000001,6.5145,4.062,3.442,4.1995,6.9275,5.221,,,43.6005,-116.2308,USA,449428.0,8.55,3833.33,64.07,109.3,151.9,238.6,281.4,335.5,351.6,399.8,358.8,303.6,238.1,119.6,105.2,2993.4,"−0.4
(31.3)","2.5
(36.5)","6.9
(44.5)","10.4
(50.8)","15.1
(59.1)","19.7
(67.5)","24.3
(75.8)","23.7
(74.7)","18.3
(64.9)","11.6
(52.8)","4.4
(40.0)","−0.7
(30.7)","11.4
(52.5)",,,,,,,,
Bologna,Italy,7.472,5.189,3.1485000000000007,1.3969999999999998,3.682,5.53,6.189666666666666,7.337,8.577666666666667,4.202500000000001,5.460250000000001,3.3625,2.4365,7.7105,5.736000000000001,7.618,1.5815,,,44.4939,11.3428,ITA,387971.0,8.43,1678.37,29.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bordeaux,France,7.1915,4.583,3.6915,0.0,4.876,5.5497499999999995,8.088333333333333,7.466,8.823333333333332,4.442,7.261000000000001,4.2045,2.648000000000001,3.875,5.3005,7.126499999999999,2.8754999999999997,,,44.84,-0.58,FRA,994920.0,9.48,2484.38,36.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulder,United States,3.704,4.531,5.853000000000001,6.019,4.207,6.138000000000002,8.671,7.0735,7.050333333333333,4.679,9.84375,6.5145,4.346,6.2780000000000005,2.5649999999999995,9.274500000000002,6.699,,,40.0248,-105.2524,USA,120121.0,9.25,5177.78,77.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bozeman,United States,2.949,0.0,3.407,0.0,1.1905,0.0,8.671,6.9145,6.515,4.128,9.369,6.5145,4.062,5.156000000000001,1.907,7.2935,6.134,,,45.6833,-111.0558,USA,63917.0,8.97,4361.11,73.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasilia,Brazil,,,,,,,,,,,,,,,,,,42.8,99.0,-15.7939,-47.8828,BRA,141742.0,6.71,620.32,21.49,150.9,158.9,166.5,204.6,239.5,254.3,268.9,264.4,210.5,183.1,139.9,126.8,2368.3,"21.2
(70.2)","21.3
(70.3)","21.5
(70.7)","20.9
(69.6)","19.6
(67.3)","18.5
(65.3)","18.3
(64.9)","20.3
(68.5)","21.7
(71.1)","21.6
(70.9)","21.1
(70.0)","21.0
(69.8)","20.6
(69.1)",,,,,,,,
Bratislava,Slovakia,7.874499999999999,7.618,3.487,0.0,4.890000000000001,5.8115000000000006,6.188666666666666,8.618,6.751999999999999,3.2975,6.199999999999999,4.4705,4.937,4.583500000000001,6.186,6.432499999999999,4.8575,74.6,80.7,48.1447,17.1128,SVK,475503.0,7.38,1279.31,20.04,65.0,82.0,152.0,204.0,264.0,270.0,276.0,270.0,207.0,143.0,60.0,47.0,2038.0,"−0.4
(31.3)","1.2
(34.2)","5.5
(41.9)","11.0
(51.8)","16.0
(60.8)","19.1
(66.4)","21.3
(70.3)","20.7
(69.3)","15.9
(60.6)","10.4
(50.7)","4.9
(40.8)","0.7
(33.3)","10.5
(50.9)",,,,,,,,
Brighton,United Kingdom,2.49,5.324,3.4094999999999995,0.0,8.322,5.547500000000001,8.991999999999999,8.4715,7.716333333333331,4.906000000000001,8.245750000000001,5.438,5.9545,4.7585,4.8695,8.17,4.898,,,50.8208,-0.1375,GBR,134293.0,7.38,2745.7,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane,Australia,5.212,5.1770000000000005,6.343,3.24,2.4345,4.617750000000001,9.399666666666668,7.903500000000001,8.317666666666666,5.920999999999999,8.82775,6.0695000000000014,4.5885,4.407500000000001,4.01,7.489500000000001,6.256500000000002,135.2,98.1,-27.4678,153.0281,AUS,2706966.0,8.83,4082.97,51.29,263.5,223.2,232.5,234.0,235.6,198.0,238.7,266.6,270.0,275.9,270.0,265.4,2968.4,"25.8
(78.4)","25.7
(78.3)","24.5
(76.1)","22.3
(72.1)","19.1
(66.4)","16.8
(62.2)","16.0
(60.8)","17.0
(62.6)","19.7
(67.5)","21.7
(71.1)","23.5
(74.3)","24.8
(76.6)","21.4
(70.5)",60.0,Low,70.0,40.0,7.9,100.0,91.0,
Bristol,United Kingdom,5.215999999999999,5.242,4.113,3.593,4.890000000000001,5.4437500000000005,8.991999999999999,7.94,8.251666666666665,5.4615,6.472250000000001,5.438,5.9545,6.478000000000001,3.8625,7.439499999999999,4.538,,,51.4536,-2.5975,GBR,707412.0,7.38,2851.94,41.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brno,Czechia,8.329000000000002,7.925999999999998,2.9155,0.0,2.601,5.827249999999999,6.2126666666666654,8.5655,8.096666666666666,4.226500000000001,6.05525,4.378000000000001,5.9335,7.020500000000002,5.3525,8.055000000000001,3.694,97.6,78.2,49.1925,16.6083,CZE,400566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels,Belgium,6.3549999999999995,4.477,5.6915,3.3739999999999997,7.4675,5.386750000000001,8.876999999999999,6.703,8.158333333333333,6.6530000000000005,4.591000000000001,4.8115000000000006,1.883,7.5715,8.143999999999998,6.481,4.123,105.0,83.8,50.8467,4.3525,BEL,1249597.0,9.48,2798.0,51.82,59.0,77.0,114.0,159.0,191.0,188.0,201.0,190.0,143.0,113.0,66.0,45.0,1546.0,"3.3
(37.9)","3.7
(38.7)","6.8
(44.2)","9.8
(49.6)","13.6
(56.5)","16.2
(61.2)","18.4
(65.1)","18.0
(64.4)","14.9
(58.8)","11.1
(52.0)","6.8
(44.2)","3.9
(39.0)","10.5
(50.9)",,,,,,,,82.96
Bucharest,Romania,9.186500000000002,8.516,5.383,1.187,3.4955,5.072500000000001,5.681666666666667,8.985999999999999,6.075333333333333,2.4475,3.41925,4.103,6.8389999999999995,9.638,6.959499999999999,8.686500000000002,1.9675,74.3,75.6,44.4325,26.1039,ROU,2412530.0,5.78,948.86,8.37,71.0,85.0,140.0,186.0,245.0,267.0,288.0,282.0,225.0,177.0,87.0,62.0,2115.0,"−1.3
(29.7)","0.4
(32.7)","5.4
(41.7)","11.2
(52.2)","16.8
(62.2)","20.6
(69.1)","22.5
(72.5)","22.0
(71.6)","16.9
(62.4)","11.0
(51.8)","4.7
(40.5)","0.2
(32.4)","10.8
(51.4)",,,,,,,,91.3
